Input,Trial,Treatment,time,heart_rate,sd,std_err,confidence,start,end
0,Trial1,17up,8/8/25 9:20,122.2410866,0.047562723,0.008542517,Good,136,152
0,Trial1,17up,8/8/25 9:30,102.295082,0.074239736,0.014287444,Good,56,72
0,Trial1,17up,8/8/25 9:40,163.3711507,0.085804673,0.01308509,Good,56,72
0,Trial1,17up,8/8/25 9:50,165.2459016,0.09787967,0.01492651,Good,6,22
0,Trial1,17up,8/8/25 10:00,164.5536869,0.129201873,0.017582148,Good,86,106
0,Trial1,17up,8/8/25 10:10,200.7434944,0.05788791,0.008535107,Good,210,224
0,Trial1,17up,8/8/25 10:20,123.3333333,0.210471205,0,Good,140,158
0,Trial1,17up,8/8/25 10:30,80,0.238235417,0,Good,64,82
0,Trial1,17up,8/8/25 10:40,83.33333333,0.242916969,0,Good,50,68
0,Trial1,17up,8/8/25 10:50,96.66666667,0.242555835,0,Good,50,68
0,Trial1,17up,8/8/25 11:00,103.3333333,0.203669298,0,Good,50,68
0,Trial1,17up,8/8/25 11:10,83.33333333,0.172741377,0,Good,50,68
0,Trial1,17up,8/8/25 11:20,86.25,0.112215248,0,Good,56,72
0,Trial1,17up,8/8/25 11:30,101.25,0.156195166,0,Good,102,118
0,Trial1,17up,8/8/25 11:40,96.66666667,0.106019425,0,Good,92,110
0,Trial1,17up,8/8/25 11:50,116.6666667,0.193084118,0,Good,110,128
0,Trial1,17up,8/8/25 12:00,136.6666667,0.160610813,0,Good,22,40
0,Trial1,17up,8/8/25 12:10,173.3333333,0.194695856,0,Good,32,50
0,Trial1,17up,8/8/25 12:20,130,0.100455976,0,Good,120,138
0,Trial1,17up,8/8/25 12:30,210,0.235044322,0,Good,108,126
0,Trial1,17up,8/8/25 12:40,323.3333333,0.040581233,0,Good,112,130
0,Trial1,17up,8/8/25 12:50,296.6666667,0.122148788,0,Good,82,100
0,Trial1,17up,8/8/25 13:00,300,0.092203331,0,Good,92,108
0,Trial1,17up,8/8/25 13:10,251.25,0.090193795,0,Good,24,40
0,Trial1,17up,8/8/25 13:20,176.25,0.133302759,0,Good,6,22
0,Trial1,17up,8/8/25 13:30,193.3333333,0.17131916,0,Good,86,104
0,Trial1,17up,8/8/25 13:40,0,0,0,Zero,142,166
0,Trial1,17up,8/8/25 13:50,5.979638301,0.172298441,0,Discard,0,581.975
0,Trial1,17up,8/8/25 14:00,5.979638301,0.160771706,0,Discard,0,581.975
0,Trial1,17up,8/8/25 14:10,5.979638301,0.164497976,0,Discard,0,581.975
0,Trial1,17up,8/8/25 14:20,5.979638301,0.182880074,0,Discard,0,581.975
0,Trial1,17up,8/8/25 14:30,5.979638301,0.189549273,0,Discard,0,581.975
0,Trial1,17up,8/8/25 14:40,174,0.171128185,0,Discard,22,42
1,Trial1,17up,8/8/25 9:20,120.4755614,0.029282858,0.00468901,Good,74,94
1,Trial1,17up,8/8/25 9:30,124.0310078,0.091733659,0.014326391,Good,38,58
1,Trial1,17up,8/8/25 9:40,192.8571429,0.203480741,0,Good,134,148
1,Trial1,17up,8/8/25 9:50,140.4682274,0.073357362,0.012226227,Good,60,76
1,Trial1,17up,8/8/25 10:00,187.5,0.113160386,0,Good,114,130
1,Trial1,17up,8/8/25 10:10,159.4095941,0.095607913,0.015717844,Good,58,72
1,Trial1,17up,8/8/25 10:20,222.8571429,0.085202876,0,Good,58,72
1,Trial1,17up,8/8/25 10:30,295.7142857,0.131536735,0,Good,84,98
1,Trial1,17up,8/8/25 10:40,204.5016077,0.017780001,0.002419552,Good,50,66
1,Trial1,17up,8/8/25 10:50,227.1428571,0.018203641,0,Good,106,120
1,Trial1,17up,8/8/25 11:00,225,0.137345704,0,Good,116,132
1,Trial1,17up,8/8/25 11:10,251.25,0.134093543,0,Good,66,82
1,Trial1,17up,8/8/25 11:20,262.5,0.118535001,0,Good,102,118
1,Trial1,17up,8/8/25 11:30,258.75,0.208580157,0,Good,144,160
1,Trial1,17up,8/8/25 11:40,228.75,0.182853158,0,Good,58,74
1,Trial1,17up,8/8/25 11:50,202.5,0.201539704,0,Good,44,60
1,Trial1,17up,8/8/25 12:00,210,0.171023243,0,Good,80,96
1,Trial1,17up,8/8/25 12:10,206.25,0.157688273,0,Good,38,54
1,Trial1,17up,8/8/25 12:20,192.8571429,0.161744522,0,Good,86,100
1,Trial1,17up,8/8/25 12:30,285,0.272321069,0,Good,124,140
1,Trial1,17up,8/8/25 12:40,371.25,0.278847175,0,Good,122,138
1,Trial1,17up,8/8/25 12:50,471.4285714,0.508446879,0,Good,160,174
1,Trial1,17up,8/8/25 13:00,457.5,0.434141242,0,Good,110,126
1,Trial1,17up,8/8/25 13:10,371.25,0.205370193,0,Good,112,128
1,Trial1,17up,8/8/25 13:20,296.25,0.197634499,0,Good,92,108
