"Input","Trial","Treatment","time","heart_rate","sd","std_err","confidence","start","end"
"0","Trial18","17up",2025-08-21 08:43:37,194.406943105111,0.0150500729401482,0.000946189978968034,"Good",244,322
"0","Trial18","17up",2025-08-21 08:53:37,191.472868217054,0.0142082266296604,0.000902223293207179,"Good",244,322
"0","Trial18","17up",2025-08-21 09:03:37,207.819063004846,0.0138856858997002,0.000846625211482608,"Good",244,322
"0","Trial18","17up",2025-08-21 09:13:37,224.154589371981,0.0138020959381148,0.000809093192897799,"Good",244,322
"0","Trial18","17up",2025-08-21 09:23:37,233.505154639175,0.0122809512700609,0.000705522216292216,"Good",142,220
"0","Trial18","17up",2025-08-21 09:33:37,248.516129032258,0.0122079392672406,0.00068032185740763,"Good",142,220
"0","Trial18","17up",2025-08-21 09:43:37,264.864864864865,0.0138993277395839,0.000749401527911404,"Good",236,314
"0","Trial18","17up",2025-08-21 09:53:37,276.80412371134,0.0194058338843094,0.00102420073973792,"Good",236,314
"0","Trial18","17up",2025-08-21 10:03:37,268.558529506611,0.0136140273284914,0.000729788467424998,"Good",236,314
"0","Trial18","17up",2025-08-21 10:13:37,268.977884040646,0.015977368129173,0.000823969847386355,"Good",216,300
"0","Trial18","17up",2025-08-21 10:23:37,286.27802690583,0.0173789255293903,0.000868946276469517,"Good",216,300
"0","Trial18","17up",2025-08-21 10:33:37,294.535682293222,0.0160004988498583,0.000788287999099973,"Good",216,300
"0","Trial18","17up",2025-08-21 10:43:37,302.062780269058,0.0166254013527209,0.000809311875132195,"Good",216,300
"0","Trial18","17up",2025-08-21 10:53:37,319.091723931879,0.0161394886986864,0.000764226939411053,"Good",216,300
"0","Trial18","17up",2025-08-21 11:03:37,334.254992319509,0.0214663209016276,0.000919516160218032,"Good",246,344
"0","Trial18","17up",2025-08-21 11:13:37,337.078651685393,0.0376408577327124,0.00265498139789259,"Good",176,212
"0","Trial18","17up",2025-08-21 11:23:37,228.965517241379,0.0698824629269928,0.00762480181221166,"Good",418,440
"0","Trial18","17up",2025-08-21 11:33:37,77.0465489566614,0.26327267233802,0.0411162836414949,"Good",468,500
"0","Trial18","17up",2025-08-21 11:43:37,23.0769230769231,2.11564936183249,0.47307357896115,"Good",210,270
"0","Trial18","17up",2025-08-21 11:53:37,0,0,0,"Zero",112,128
"0","Trial18","17up",2025-08-21 12:03:37,91.632986499269,0.221827907303561,0.00743986922326289,"Discard",0,581.975
"0","Trial18","17up",2025-08-21 12:13:37,91.1549392817156,0.223214075815623,0.00751175173250904,"Discard",0,581.975
"0","Trial18","17up",2025-08-21 12:23:37,93.5749020957955,0.217927013061074,0.00723614770033322,"Discard",0,581.975
"0","Trial18","17up",2025-08-21 12:33:37,92.740651491028,0.226227251127175,0.00754510125884221,"Discard",0,581.975
"0","Trial18","17up",2025-08-21 12:43:37,91.8417533111868,0.229693901290607,0.00770802263484617,"Discard",0,581.975
"0","Trial18","17up",2025-08-21 12:53:37,94.9718267452364,0.222043518255735,0.00731658268542086,"Discard",0,581.975
"0","Trial18","17up",2025-08-21 13:03:37,94.2411079093372,0.232158349812154,0.00767911568545595,"Discard",0,581.975
"0","Trial18","17up",2025-08-21 13:13:37,93.0025528572364,0.222826644946588,0.00915039358142751,"Discard",0,382.875
"1","Trial18","17up",2025-08-21 08:43:37,157.23813260102,0.0209351395116759,0.00161518107928767,"Good",146,210
"1","Trial18","17up",2025-08-21 08:53:37,141.622760800843,0.040879087132129,0.00314454516400992,"Good",98,170
"1","Trial18","17up",2025-08-21 09:03:37,108.053265694356,0.06166086582465,0.00726680272640731,"Good",34,74
"1","Trial18","17up",2025-08-21 09:13:37,132.488687782805,0.0489767951159449,0.00441608889593758,"Good",34,90
"1","Trial18","17up",2025-08-21 09:23:37,131.747483989021,0.0514805514261566,0.00659140918183009,"Good",388,416
"1","Trial18","17up",2025-08-21 09:33:37,146.056475170399,0.0441469320893663,0.0039329212989425,"Good",354,406
"1","Trial18","17up",2025-08-21 09:43:37,192.439862542955,0.0221267719980677,0.00186341035451736,"Good",236,280
"1","Trial18","17up",2025-08-21 09:53:37,160.831889081456,0.0405332475003371,0.00374730005701379,"Good",236,280
"1","Trial18","17up",2025-08-21 10:03:37,200.115008625647,0.0189792814038184,0.00157073650512415,"Good",236,280
"1","Trial18","17up",2025-08-21 10:13:37,204.508979747803,0.032160831339312,0.00214883593117014,"Good",368,434
"1","Trial18","17up",2025-08-21 10:23:37,187.026116259478,0.0331644763442272,0.00243173738853742,"Good",160,220
"1","Trial18","17up",2025-08-21 10:33:37,268.896321070234,0.0150726210695714,0.000750820735225052,"Good",292,382
"1","Trial18","17up",2025-08-21 10:43:37,273.731176798662,0.0180606101583647,0.000891949959348352,"Good",292,382
"1","Trial18","17up",2025-08-21 10:53:37,286.048454469507,0.0219056546683758,0.00105761497355356,"Good",292,382
"1","Trial18","17up",2025-08-21 11:03:37,300.669642857143,0.0173533982584595,0.000818047039012502,"Good",292,382
"1","Trial18","17up",2025-08-21 11:13:37,320.610687022901,0.0163032727786982,0.00158351383601036,"Good",286,306
"1","Trial18","17up",2025-08-21 11:23:37,190.431738623104,0.0819696551382072,0.00986798686095938,"Good",402,424
"1","Trial18","17up",2025-08-21 11:33:37,41.5975885455916,0.941632853520974,0.192210001347273,"Good",446,480
"1","Trial18","17up",2025-08-21 11:43:37,23.7362637362637,2.1779593532581,0.688731220756287,"Good",222,258
"1","Trial18","17up",2025-08-21 11:53:37,0,0,0,"Zero",106,120
"1","Trial18","17up",2025-08-21 12:03:37,-1,-1,-1,"Discard",0,581.975
"1","Trial18","17up",2025-08-21 12:13:37,-1,-1,-1,"Discard",0,581.975
"1","Trial18","17up",2025-08-21 12:23:37,-1,-1,-1,"Discard",0,581.975
"1","Trial18","17up",2025-08-21 12:33:37,-1,-1,-1,"Discard",0,581.975
